Date,Valeur,Price,Open,High,Low,Vol.,Change %
09/21/2023,ATL,3.8,3.9,3.9,3.8,4.54K,-3.06%
09/20/2023,ATL,3.92,3.91,3.92,3.89,4.97K,0.26%
09/19/2023,ATL,3.91,3.92,3.93,3.9,1.71K,-0.51%
09/18/2023,ATL,3.93,3.93,3.93,3.91,3.18K,0.26%
09/15/2023,ATL,3.92,3.9,3.92,3.9,0.32K,-0.25%
09/14/2023,ATL,3.93,3.93,3.94,3.9,3.36K,0.00%
09/13/2023,ATL,3.93,3.93,3.93,3.9,1.15K,0.00%
09/12/2023,ATL,3.93,3.91,3.93,3.9,4.21K,0.77%
09/11/2023,ATL,3.9,3.91,3.91,3.83,2.02K,1.30%
09/08/2023,ATL,3.85,3.94,3.94,3.85,2.68K,-2.28%
09/07/2023,ATL,3.94,3.85,3.94,3.83,6.35K,1.55%
09/06/2023,ATL,3.88,3.86,3.9,3.83,2.46K,-0.51%
09/05/2023,ATL,3.9,3.91,3.91,3.88,2.78K,0.00%
09/04/2023,ATL,3.9,3.85,3.91,3.84,18.57K,1.30%
09/01/2023,ATL,3.85,3.85,3.85,3.85,0.45K,0.00%
08/31/2023,ATL,3.85,3.85,3.86,3.8,0.65K,0.52%
08/30/2023,ATL,3.83,3.83,3.83,3.83,0.30K,0.00%
08/29/2023,ATL,3.83,3.76,3.84,3.76,1.97K,2.41%
08/28/2023,ATL,3.74,3.7,3.74,3.7,0.97K,1.08%
08/25/2023,ATL,3.7,3.7,3.7,3.7,1.45K,0.00%
08/24/2023,ATL,3.7,3.59,3.74,3.59,24.04K,2.78%
08/23/2023,ATL,3.6,3.69,3.69,3.59,0.72K,0.00%
08/22/2023,ATL,3.6,3.69,3.69,3.6,5.61K,-2.44%
08/21/2023,ATL,3.69,3.62,3.69,3.62,0.06K,0.00%
08/18/2023,ATL,3.69,3.65,3.7,3.64,0.22K,1.10%
08/17/2023,ATL,3.65,3.68,3.7,3.62,0.81K,-1.08%
08/16/2023,ATL,3.69,3.68,3.69,3.65,2.01K,-0.27%
08/15/2023,ATL,3.7,3.69,3.7,3.69,0.53K,0.27%
08/11/2023,ATL,3.69,3.77,3.77,3.65,0.34K,-0.81%
08/10/2023,ATL,3.72,3.8,3.8,3.58,10.06K,-2.11%
08/09/2023,ATL,3.8,3.67,3.8,3.67,1.00K,-1.04%
08/07/2023,ATL,3.84,3.84,3.84,3.84,0.01K,2.13%
08/04/2023,ATL,3.76,3.79,3.83,3.76,4.18K,-3.09%
08/01/2023,ATL,3.88,3.78,3.88,3.78,0.22K,0.00%
07/31/2023,ATL,3.88,3.8,3.88,3.8,2.46K,0.52%
07/28/2023,ATL,3.86,3.8,3.86,3.8,1.29K,1.58%
07/27/2023,ATL,3.8,3.76,3.87,3.76,5.35K,-2.56%
07/21/2023,ATL,3.9,3.9,3.9,3.9,0.02K,0.00%
07/18/2023,ATL,3.9,3.78,3.92,3.78,1.10K,-0.76%
07/14/2023,ATL,3.93,3.74,3.93,3.74,4.38K,-0.25%
07/13/2023,ATL,3.94,3.85,3.94,3.85,1.01K,0.00%
07/12/2023,ATL,3.94,3.93,3.94,3.93,0.15K,-0.51%
07/11/2023,ATL,3.96,4,4,3.9,1.04K,0.76%
07/10/2023,ATL,3.93,3.72,3.94,3.72,67.26K,5.65%
07/07/2023,ATL,3.72,3.73,3.73,3.72,41.56K,-0.27%
07/06/2023,ATL,3.73,3.73,3.73,3.71,34.80K,0.00%
07/05/2023,ATL,3.73,3.62,3.73,3.62,8.26K,3.61%
07/04/2023,ATL,3.6,3.56,3.6,3.56,5.26K,0.00%
07/03/2023,ATL,3.6,3.61,3.61,3.5,5.36K,-0.55%
06/30/2023,ATL,3.62,3.62,3.62,3.55,0.27K,1.97%
06/27/2023,ATL,3.55,3.55,3.55,3.51,3.16K,-1.11%
06/26/2023,ATL,3.59,3.58,3.6,3.58,0.80K,-0.55%
06/23/2023,ATL,3.61,3.6,3.61,3.58,2.19K,0.00%
06/22/2023,ATL,3.61,3.6,3.64,3.58,2.20K,-1.10%
06/21/2023,ATL,3.65,3.67,3.67,3.65,1.71K,-1.35%
06/20/2023,ATL,3.7,3.74,3.74,3.67,0.22K,-1.07%
06/19/2023,ATL,3.74,3.66,3.74,3.66,3.93K,-1.58%
06/15/2023,ATL,3.8,3.8,3.8,3.8,0.50K,-5.00%
06/14/2023,ATL,4,3.97,4,3.94,18.41K,1.78%
06/13/2023,ATL,3.93,3.97,3.97,3.93,3.08K,-1.75%
06/12/2023,ATL,4,3.97,4,3.97,7.37K,0.76%
06/09/2023,ATL,3.97,3.99,3.99,3.94,0.51K,0.76%
06/08/2023,ATL,3.94,3.92,3.95,3.92,1.18K,-0.25%
06/07/2023,ATL,3.95,3.91,3.95,3.91,0.50K,-0.25%
06/06/2023,ATL,3.96,3.95,3.98,3.9,7.01K,0.00%
06/05/2023,ATL,3.96,3.93,3.96,3.93,1.79K,0.00%
06/02/2023,ATL,3.96,3.97,3.98,3.93,3.31K,-0.50%
06/01/2023,ATL,3.98,3.99,3.99,3.93,5.05K,-0.25%
05/31/2023,ATL,3.99,3.92,3.99,3.92,3.25K,-0.25%
05/30/2023,ATL,4,3.93,4,3.92,3.91K,1.27%
05/29/2023,ATL,3.95,3.96,3.99,3.93,1.58K,-1.25%
05/26/2023,ATL,4,3.99,4,3.92,1.68K,2.04%
05/25/2023,ATL,3.92,3.92,3.97,3.92,2.18K,-2.00%
05/24/2023,ATL,4,3.92,4,3.9,2.97K,2.04%
05/23/2023,ATL,3.92,4,4,3.9,0.93K,-2.00%
05/22/2023,ATL,4,4,4.03,3.95,15.87K,-1.23%
05/19/2023,ATL,4.05,4.12,4.12,4,9.16K,-1.70%
05/18/2023,ATL,4.12,4.03,4.2,4.03,3.18K,3.00%
05/17/2023,ATL,4,4.01,4.17,4,18.88K,1.52%
05/16/2023,ATL,3.94,3.87,3.94,3.87,5.79K,2.87%
05/15/2023,ATL,3.83,3.8,3.87,3.8,0.57K,0.52%
05/12/2023,ATL,3.81,3.87,3.87,3.8,4.68K,0.26%
05/11/2023,ATL,3.8,3.87,3.87,3.8,2.07K,-1.81%
05/10/2023,ATL,3.87,3.8,3.87,3.76,1.53K,2.93%
05/09/2023,ATL,3.76,3.66,3.85,3.66,8.94K,2.73%
05/08/2023,ATL,3.66,3.69,3.71,3.62,1.84K,0.83%
05/05/2023,ATL,3.63,3.63,3.69,3.63,3.78K,0.83%
05/04/2023,ATL,3.6,3.65,3.65,3.6,8.35K,0.00%
05/03/2023,ATL,3.6,3.64,3.65,3.6,317.33K,-0.83%
05/02/2023,ATL,3.63,3.69,3.69,3.61,1.34K,0.28%
04/28/2023,ATL,3.62,3.63,3.65,3.6,24.16K,2.26%
04/27/2023,ATL,3.54,3.55,3.58,3.54,0.03K,-0.28%
04/26/2023,ATL,3.55,3.6,3.6,3.55,5.80K,1.14%
04/25/2023,ATL,3.51,3.35,3.6,3.35,11.37K,0.29%
04/24/2023,ATL,3.5,3.46,3.5,3.46,1.57K,2.04%
04/20/2023,ATL,3.43,3.45,3.45,3.43,1.47K,-0.29%
04/19/2023,ATL,3.44,3.44,3.44,3.44,1.25K,-0.29%
04/18/2023,ATL,3.45,3.45,3.45,3.45,0.10K,-0.86%
04/12/2023,ATL,3.48,3.35,3.48,3.35,0.25K,0.00%
04/11/2023,ATL,3.48,3.48,3.48,3.48,0.00K,0.00%
04/10/2023,ATL,3.48,3.47,3.48,3.46,3.11K,0.58%
04/07/2023,ATL,3.46,3.45,3.46,3.45,0.91K,0.29%
04/06/2023,ATL,3.45,3.45,3.46,3.45,3.85K,-0.29%
04/05/2023,ATL,3.46,3.45,3.46,3.45,2.80K,0.00%
04/04/2023,ATL,3.46,3.45,3.46,3.45,1.13K,0.00%
04/03/2023,ATL,3.46,3.46,3.47,3.45,3.46K,-0.57%
03/31/2023,ATL,3.48,3.46,3.49,3.45,28.41K,0.00%
03/30/2023,ATL,3.48,3.45,3.48,3.35,1.74K,0.87%
03/29/2023,ATL,3.45,3.35,3.45,3.35,3.33K,2.99%
03/28/2023,ATL,3.35,3.31,3.35,3.31,3.00K,0.00%
03/27/2023,ATL,3.35,3.35,3.35,3.34,1.52K,0.00%
03/24/2023,ATL,3.35,3.34,3.35,3.33,90.60K,0.00%
03/23/2023,ATL,3.35,3.3,3.35,3.3,19.54K,0.00%
03/22/2023,ATL,3.35,3.3,3.35,3.3,9.20K,0.00%
03/21/2023,ATL,3.35,3.31,3.35,3.31,5.12K,0.30%
03/17/2023,ATL,3.34,3.3,3.34,3.3,0.31K,0.91%
03/16/2023,ATL,3.31,3.4,3.4,3.31,7.92K,-2.65%
03/15/2023,ATL,3.4,3.38,3.4,3.38,0.57K,0.59%
03/14/2023,ATL,3.38,3.3,3.38,3.3,23.20K,0.90%
03/13/2023,ATL,3.35,3.35,3.35,3.3,8.65K,0.00%
03/10/2023,ATL,3.35,3.35,3.35,3.35,0.50K,-0.89%
03/09/2023,ATL,3.38,3.38,3.38,3.38,0.00K,0.90%
03/08/2023,ATL,3.35,3.35,3.35,3.3,8.47K,0.00%
03/07/2023,ATL,3.35,3.3,3.35,3.3,4.10K,1.52%
03/06/2023,ATL,3.3,3.3,3.3,3.3,0.04K,-1.49%
03/03/2023,ATL,3.35,3.33,3.35,3.27,1.42K,0.00%
03/02/2023,ATL,3.35,3.35,3.35,3.31,4.14K,-1.18%
03/01/2023,ATL,3.39,3.39,3.39,3.35,2.73K,-0.88%
02/28/2023,ATL,3.42,3.35,3.44,3.35,5.87K,0.29%
02/27/2023,ATL,3.41,3.4,3.42,3.4,6.43K,-1.16%
02/24/2023,ATL,3.45,3.46,3.46,3.4,0.35K,-0.29%
02/23/2023,ATL,3.46,3.46,3.46,3.46,2.22K,-0.29%
02/22/2023,ATL,3.47,3.41,3.47,3.41,5.28K,0.87%
02/21/2023,ATL,3.44,3.44,3.44,3.4,1.79K,0.00%
02/20/2023,ATL,3.44,3.4,3.44,3.4,5.45K,0.00%
02/17/2023,ATL,3.44,3.42,3.44,3.4,1.84K,0.58%
02/16/2023,ATL,3.42,3.46,3.46,3.4,3.49K,-0.58%
02/15/2023,ATL,3.44,3.46,3.46,3.4,1.02K,-0.58%
02/14/2023,ATL,3.46,3.34,3.46,3.34,27.42K,3.59%
02/13/2023,ATL,3.34,3.3,3.34,3.27,7.91K,1.21%
02/10/2023,ATL,3.3,3.3,3.34,3.3,2.70K,0.00%
02/09/2023,ATL,3.3,3.3,3.33,3.3,0.58K,-0.90%
02/08/2023,ATL,3.33,3.3,3.33,3.3,1.98K,0.00%
02/07/2023,ATL,3.33,3.3,3.33,3.3,9.56K,-0.30%
02/06/2023,ATL,3.34,3.3,3.34,3.3,5.70K,0.00%
02/03/2023,ATL,3.34,3.34,3.34,3.3,1.08K,0.30%
02/02/2023,ATL,3.33,3.33,3.33,3.3,4.09K,0.00%
02/01/2023,ATL,3.33,3.3,3.33,3.3,7.95K,-0.60%
01/31/2023,ATL,3.35,3.35,3.35,3.3,3.74K,0.30%
01/30/2023,ATL,3.34,3.26,3.35,3.25,13.40K,1.52%
01/27/2023,ATL,3.29,3.2,3.31,3.2,4.84K,2.49%
01/26/2023,ATL,3.21,3.31,3.31,3.2,3.13K,-1.23%
01/25/2023,ATL,3.25,3.35,3.35,3.25,21.37K,0.00%
01/24/2023,ATL,3.25,3.22,3.3,3.22,18.52K,1.56%
01/23/2023,ATL,3.2,3.17,3.2,3.1,7.43K,0.95%
01/20/2023,ATL,3.17,3.1,3.17,3.1,6.15K,2.26%
01/19/2023,ATL,3.1,3.1,3.1,3.04,4.06K,1.97%
01/18/2023,ATL,3.04,3.1,3.13,3.04,19.49K,-1.94%
01/17/2023,ATL,3.1,3.14,3.14,3.1,10.60K,-2.21%
01/16/2023,ATL,3.17,3.17,3.17,3.1,17.13K,-0.63%
01/13/2023,ATL,3.19,3.19,3.19,3.15,13.20K,-2.15%
01/12/2023,ATL,3.26,3.21,3.26,3.15,14.12K,1.24%
01/11/2023,ATL,3.22,3.25,3.26,3.2,8.82K,-2.42%
01/10/2023,ATL,3.3,3.35,3.35,3.3,4.04K,-1.79%
01/09/2023,ATL,3.36,3.47,3.47,3.35,15.92K,-3.17%
01/06/2023,ATL,3.47,3.23,3.47,3.23,33.17K,5.79%
01/05/2023,ATL,3.28,3.15,3.3,3.13,41.68K,4.79%
01/04/2023,ATL,3.13,3.12,3.14,3.12,3.06K,-0.32%
01/03/2023,ATL,3.14,3.12,3.15,3.11,4.27K,0.64%
01/02/2023,ATL,3.12,3.02,3.12,2.99,6.12K,4.00%
12/30/2022,ATL,3,3,3,2.99,31.05K,0.33%
