Date,Valeur,Price,Open,High,Low,Vol.,Change %
01/19/2024,BIAT,89.9,89.95,89.95,89.5,0.43K,0.28%
01/18/2024,BIAT,89.65,90,90,89.6,8.19K,-0.39%
01/17/2024,BIAT,90,90.3,90.3,89.86,4.23K,-0.28%
01/16/2024,BIAT,90.25,89.5,90.3,89.5,6.72K,1.39%
01/15/2024,BIAT,89.01,88.5,89.5,88.5,5.98K,0.58%
01/12/2024,BIAT,88.5,88.55,89,88.25,4.49K,0.00%
01/11/2024,BIAT,88.5,89.5,89.5,88.27,4.09K,-0.78%
01/10/2024,BIAT,89.2,89.5,89.75,89.2,3.92K,-0.34%
01/09/2024,BIAT,89.5,89.85,89.86,89.5,3.66K,-0.39%
01/08/2024,BIAT,89.85,90,90,89.5,1.84K,0.00%
01/05/2024,BIAT,89.85,90,90.45,89.1,5.98K,-0.17%
01/04/2024,BIAT,90,90,90.15,88.25,8.06K,0.00%
01/03/2024,BIAT,90,90.59,90.59,90,2.80K,-0.94%
01/02/2024,BIAT,90.85,91.2,91.2,90.2,0.49K,-1.14%
12/29/2023,BIAT,91.9,91.01,92,91,0.38K,-0.11%
12/28/2023,BIAT,92,90.96,92,90.96,1.25K,1.15%
12/27/2023,BIAT,90.95,90.99,90.99,90.22,2.27K,-0.05%
12/26/2023,BIAT,91,91,91,90.2,0.70K,0.11%
12/25/2023,BIAT,90.9,90.1,90.9,90.1,0.72K,0.00%
12/22/2023,BIAT,90.9,91,91,90.32,1.25K,-0.11%
12/21/2023,BIAT,91,91.18,91.2,91,0.74K,-0.20%
12/20/2023,BIAT,91.18,91,91.19,91,0.40K,-0.01%
12/19/2023,BIAT,91.19,91,91.8,90.7,4.81K,0.54%
12/18/2023,BIAT,90.7,90.45,90.7,90.45,0.94K,-0.11%
12/15/2023,BIAT,90.8,90.5,90.8,90.5,2.46K,0.00%
12/14/2023,BIAT,90.8,90.5,90.85,90.5,0.49K,-0.06%
12/13/2023,BIAT,90.85,90.5,90.85,90.5,0.27K,-0.06%
12/12/2023,BIAT,90.9,90.8,91,90.8,0.49K,0.00%
12/11/2023,BIAT,90.9,90.3,90.9,90.3,0.81K,0.00%
12/08/2023,BIAT,90.9,90.2,91.2,90.11,0.42K,0.78%
12/07/2023,BIAT,90.2,90.3,90.3,90.11,1.04K,-0.11%
12/06/2023,BIAT,90.3,90.1,90.3,90.1,0.85K,0.22%
12/05/2023,BIAT,90.1,90.1,90.1,90.1,2.78K,0.00%
12/04/2023,BIAT,90.1,90,90.2,90,2.10K,-0.11%
12/01/2023,BIAT,90.2,90.3,90.3,90,1.06K,0.22%
11/30/2023,BIAT,90,90.1,90.29,90,4.11K,0.00%
11/29/2023,BIAT,90,89.5,90,89.5,0.79K,0.00%
11/28/2023,BIAT,90,89.1,90.39,89.1,3.07K,-0.22%
11/27/2023,BIAT,90.2,89.3,90.2,89,1.51K,1.01%
11/24/2023,BIAT,89.3,89.99,89.99,89.3,1.82K,-0.72%
11/23/2023,BIAT,89.95,89.68,90,89.68,4.04K,-0.06%
11/22/2023,BIAT,90,89.8,90,89.68,2.00K,0.00%
11/21/2023,BIAT,90,90.1,90.35,89.8,3.37K,-0.11%
11/20/2023,BIAT,90.1,90.35,90.35,90.05,2.93K,-0.28%
11/17/2023,BIAT,90.35,90.1,90.35,90.1,1.27K,0.22%
11/16/2023,BIAT,90.15,90.1,90.4,90.1,1.84K,-0.28%
11/15/2023,BIAT,90.4,90.4,90.4,90.05,0.12K,0.39%
11/14/2023,BIAT,90.05,90.5,90.95,90.05,0.55K,-0.99%
11/13/2023,BIAT,90.95,90.25,90.95,90.25,0.31K,0.78%
11/10/2023,BIAT,90.25,90.9,90.9,90.02,0.81K,-0.50%
11/09/2023,BIAT,90.7,90.1,90.7,90.1,0.99K,0.67%
11/08/2023,BIAT,90.1,90.05,90.5,90.05,1.66K,-0.76%
11/07/2023,BIAT,90.79,90.88,90.88,90.17,1.68K,-0.23%
11/06/2023,BIAT,91,90.99,91,90.88,0.24K,0.13%
11/03/2023,BIAT,90.88,90.7,90.89,90.5,1.56K,-0.02%
11/02/2023,BIAT,90.9,90.9,91,90.5,1.21K,0.00%
11/01/2023,BIAT,90.9,91,91,90.15,3.66K,0.00%
10/31/2023,BIAT,90.9,90.05,90.9,90.05,0.41K,0.13%
10/30/2023,BIAT,90.78,90,90.9,89,1.19K,-0.02%
10/27/2023,BIAT,90.8,90.5,90.8,90.5,0.26K,0.33%
10/26/2023,BIAT,90.5,89.9,90.9,89.9,1.37K,0.67%
10/25/2023,BIAT,89.9,90.9,90.9,89.9,0.30K,-1.10%
10/24/2023,BIAT,90.9,90.95,91,90.9,0.94K,0.00%
10/23/2023,BIAT,90.9,90,90.99,90,0.67K,1.00%
10/20/2023,BIAT,90,89.85,90,89.85,0.30K,0.01%
10/19/2023,BIAT,89.99,90,90,89,2.35K,-0.89%
10/18/2023,BIAT,90.8,90.01,91.53,89,0.48K,0.87%
