Date,Valeur,Price,Open,High,Low,Vol.,Change %
09/19/2023,DELICE,13.1,12.92,13.1,12.9,4.14K,1.47%
09/18/2023,DELICE,12.91,13,13.04,12.91,0.97K,-0.69%
09/15/2023,DELICE,13,13,13,13,0.14K,0.00%
09/14/2023,DELICE,13,13,13,12.9,5.49K,0.00%
09/13/2023,DELICE,13,13,13,13,10.02K,0.00%
09/12/2023,DELICE,13,13,13,12.9,0.43K,0.00%
09/11/2023,DELICE,13,13.1,13.1,13,1.10K,0.00%
09/08/2023,DELICE,13,12.9,13,12.9,29.75K,0.78%
09/07/2023,DELICE,12.9,12.9,12.9,12.8,3.80K,0.00%
09/06/2023,DELICE,12.9,13,13,12.9,3.96K,-0.77%
09/05/2023,DELICE,13,13,13,12.95,1.27K,0.00%
09/04/2023,DELICE,13,13,13,13,1.19K,0.08%
09/01/2023,DELICE,12.99,13,13,12.99,3.71K,-0.08%
08/31/2023,DELICE,13,13.2,13.2,12.99,22.89K,0.00%
08/30/2023,DELICE,13,13,13.1,13,63.14K,0.00%
08/29/2023,DELICE,13,13.1,13.1,13,54.78K,-0.76%
08/28/2023,DELICE,13.1,13.1,13.1,13.1,1.91K,0.00%
08/25/2023,DELICE,13.1,13.3,13.3,13.1,11.73K,-1.50%
08/24/2023,DELICE,13.3,13.3,13.3,13.29,20.42K,0.00%
08/23/2023,DELICE,13.3,13.3,13.35,13.3,21.29K,0.00%
08/22/2023,DELICE,13.3,13.25,13.3,13,1.37K,0.38%
08/21/2023,DELICE,13.25,13.2,13.25,13.2,20.10K,0.38%
08/18/2023,DELICE,13.2,13.28,13.28,13,0.30K,1.54%
08/17/2023,DELICE,13,13,13,13,0.68K,-2.11%
08/16/2023,DELICE,13.28,13.35,13.35,13.28,0.21K,0.00%
08/15/2023,DELICE,13.28,13.28,13.28,13,0.07K,-0.52%
08/14/2023,DELICE,13.35,13.18,13.35,13.13,0.69K,1.29%
08/11/2023,DELICE,13.18,13.18,13.4,13.18,2.40K,-1.93%
08/10/2023,DELICE,13.44,13.36,13.44,13.36,0.50K,0.60%
08/09/2023,DELICE,13.36,13,13.36,13,1.02K,-0.15%
08/08/2023,DELICE,13.38,13.44,13.44,13.38,0.04K,-0.82%
08/04/2023,DELICE,13.49,13.49,13.49,13.49,0.00K,-0.07%
08/03/2023,DELICE,13.5,13.29,13.5,13.29,0.96K,1.50%
08/02/2023,DELICE,13.3,12.99,13.3,12.99,1.11K,2.31%
08/01/2023,DELICE,13,13.2,13.2,13,0.13K,-1.52%
07/31/2023,DELICE,13.2,13.44,13.44,13.2,0.58K,-1.86%
07/28/2023,DELICE,13.45,13.5,13.5,13.45,1.32K,1.89%
07/27/2023,DELICE,13.2,13,13.2,13,0.62K,0.00%
07/26/2023,DELICE,13.2,13.2,13.2,12.99,0.32K,1.62%
07/24/2023,DELICE,12.99,12.99,12.99,12.99,0.01K,-2.33%
07/21/2023,DELICE,13.3,13.1,13.3,13.1,0.34K,2.39%
07/20/2023,DELICE,12.99,13.1,13.1,12.99,0.24K,-0.84%
07/18/2023,DELICE,13.1,13.39,13.39,12.99,1.86K,-2.17%
07/17/2023,DELICE,13.39,13.39,13.39,13.39,0.49K,1.83%
07/14/2023,DELICE,13.15,13.1,13.4,13.1,0.81K,0.84%
07/13/2023,DELICE,13.04,13.03,13.04,13.03,1.03K,0.08%
07/12/2023,DELICE,13.03,13.03,13.03,13.03,0.12K,-3.48%
07/10/2023,DELICE,13.5,13.31,13.5,13.22,33.36K,0.00%
07/07/2023,DELICE,13.5,13.51,13.65,13.5,7.84K,-0.07%
07/06/2023,DELICE,13.51,13.51,13.51,13.24,6.81K,0.00%
07/05/2023,DELICE,13.51,13.51,13.7,13.5,0.70K,-1.39%
07/04/2023,DELICE,13.7,13.4,13.7,13.4,38.69K,2.24%
07/03/2023,DELICE,13.4,13.39,13.45,13.15,8.55K,0.07%
06/30/2023,DELICE,13.39,12.95,13.39,12.95,1.53K,3.40%
06/27/2023,DELICE,12.95,12.8,12.97,12.51,0.87K,1.25%
06/26/2023,DELICE,12.79,12.5,12.79,12.5,1.18K,0.00%
06/23/2023,DELICE,12.79,12.79,12.79,12.79,0.10K,0.31%
06/22/2023,DELICE,12.75,12.75,12.79,12.6,2.94K,-0.31%
06/21/2023,DELICE,12.79,12.75,12.79,12.6,8.49K,0.31%
06/20/2023,DELICE,12.75,12.79,12.79,12.7,2.53K,-0.39%
06/19/2023,DELICE,12.8,12.7,12.8,12.69,2.25K,0.79%
