Date,Valeur,Price,Open,High,Low,Vol.,Change %
09/19/2023,ICF,74.8,74,74.8,74,0.09K,1.08%
09/18/2023,ICF,74,73,74.8,73,0.32K,0.00%
09/15/2023,ICF,74,75,75,74,0.16K,-1.32%
09/13/2023,ICF,74.99,74.99,74.99,74.99,0.00K,0.00%
09/12/2023,ICF,74.99,74.99,74.99,74,0.48K,-0.01%
09/11/2023,ICF,75,74,75,74,0.05K,0.00%
09/08/2023,ICF,75,73.7,75,73.4,0.39K,1.76%
09/07/2023,ICF,73.7,73.56,73.8,73.5,0.37K,-0.14%
09/06/2023,ICF,73.8,75.01,75.01,73.6,0.65K,-1.60%
09/05/2023,ICF,75,75,75.7,74.5,0.35K,0.67%
09/04/2023,ICF,74.5,74.5,74.5,74.5,0.09K,-1.57%
09/01/2023,ICF,75.69,75.65,75.69,74.61,0.61K,0.00%
08/31/2023,ICF,75.69,75,75.69,75,0.32K,0.92%
08/30/2023,ICF,75,75,75.49,75,0.33K,-0.65%
08/29/2023,ICF,75.49,75,75.49,74.6,0.72K,0.65%
08/28/2023,ICF,75,75.99,75.99,75,0.32K,-1.30%
08/25/2023,ICF,75.99,75,75.99,75,0.80K,-0.01%
08/24/2023,ICF,76,76,76,76,0.06K,-0.90%
08/23/2023,ICF,76.69,75.42,76.69,74,1.05K,-0.34%
08/22/2023,ICF,76.95,77,77,75.46,0.25K,-0.06%
08/21/2023,ICF,77,77.36,77.36,77,0.03K,-0.47%
08/18/2023,ICF,77.36,73.49,77.36,73.49,0.90K,5.97%
08/17/2023,ICF,73,72,73.5,72,0.50K,0.15%
08/16/2023,ICF,72.89,71.01,72.9,71.01,1.03K,-0.01%
08/15/2023,ICF,72.9,73.1,73.48,70.09,0.12K,-0.82%
08/14/2023,ICF,73.5,73.5,74.5,73.5,0.38K,0.00%
08/11/2023,ICF,73.5,76.39,76.49,71.91,1.53K,-3.92%
08/10/2023,ICF,76.5,77.1,77.3,76.5,1.30K,-3.15%
