Date,Valeur,Price,Open,High,Low,Vol.,Change %
09/15/2023,SMG,11.48,11.48,11.48,11.48,0.00K,4.46%
09/12/2023,SMG,10.99,10.99,10.99,10.99,0.00K,0.64%
08/31/2023,SMG,10.92,10.92,10.92,10.92,0.00K,4.50%
08/25/2023,SMG,10.45,10.45,10.45,10.45,0.00K,0.00%
08/24/2023,SMG,10.45,10.45,10.45,10.45,0.01K,0.00%
08/23/2023,SMG,10.45,10.45,10.45,10.45,0.00K,0.00%
08/03/2023,SMG,10.45,10.45,10.45,10.45,0.00K,0.00%
07/31/2023,SMG,10.45,10.45,10.45,10.45,0.00K,0.00%
07/28/2023,SMG,10.45,10.45,10.45,10.45,0.01K,0.00%
07/24/2023,SMG,10.45,10.45,10.45,10.45,0.00K,0.00%
07/21/2023,SMG,10.45,10.45,10.45,10.45,0.01K,0.00%
07/20/2023,SMG,10.45,10.45,10.45,10.45,0.01K,0.00%
07/14/2023,SMG,10.45,10.45,10.45,10.45,0.01K,0.00%
07/13/2023,SMG,10.45,10.45,10.45,10.45,0.01K,0.48%
07/11/2023,SMG,10.4,10.4,10.4,10.4,0.01K,-0.48%
06/26/2023,SMG,10.45,10.45,10.45,10.45,0.00K,4.50%
06/16/2023,SMG,10,10,10,10,0.31K,-11.50%
06/12/2023,SMG,11.3,11.3,11.3,11.3,0.00K,0.09%
06/06/2023,SMG,11.29,11.29,11.29,11.29,0.00K,2.73%
06/02/2023,SMG,10.99,10.99,10.99,10.99,0.00K,9.90%
05/25/2023,SMG,10,10,10,10,0.36K,0.00%
05/23/2023,SMG,10,10,10,10,0.20K,0.00%
05/19/2023,SMG,10,10,10,10,0.02K,0.00%
05/12/2023,SMG,10,10,10,10,0.36K,0.00%
05/10/2023,SMG,10,10,10,10,0.92K,-4.94%
04/27/2023,SMG,10.52,10.52,10.52,10.52,0.02K,0.00%
04/25/2023,SMG,10.52,10.52,10.52,10.52,0.40K,-4.36%
04/20/2023,SMG,11,11,11,11,0.16K,-4.35%
04/19/2023,SMG,11.5,11.5,11.5,11.5,0.21K,0.00%
04/06/2023,SMG,11.5,12,12,11.5,0.25K,4.55%
04/04/2023,SMG,11,11,11,11,0.55K,-4.35%
04/03/2023,SMG,11.5,11.5,11.5,11.5,0.05K,-14.81%
03/15/2023,SMG,13.5,13.5,13.5,13.5,0.00K,7.66%
03/08/2023,SMG,12.54,12.54,12.54,12.54,0.00K,0.00%
03/07/2023,SMG,12.54,12.54,12.54,12.54,0.00K,4.50%
02/20/2023,SMG,12,12,12,12,0.01K,4.44%
02/16/2023,SMG,11.49,11.49,11.49,11.49,0.01K,4.45%
02/06/2023,SMG,11,11,11,11,0.04K,-0.09%
02/01/2023,SMG,11.01,11.01,11.01,11.01,0.11K,0.00%
01/31/2023,SMG,11.01,11,11.01,11,1.44K,3.87%
01/30/2023,SMG,10.6,10.6,10.6,10.6,0.28K,0.47%
01/27/2023,SMG,10.55,10.55,10.55,10.55,3.00K,-4.09%
01/05/2023,SMG,11,11,11,11,0.30K,0.00%
01/04/2023,SMG,11,11,11,11,0.24K,0.36%
12/30/2022,SMG,10.96,10.96,10.96,10.96,0.50K,-4.45%
12/26/2022,SMG,11.47,11.47,11.47,11.47,0.01K,0.00%
12/21/2022,SMG,11.47,11.47,11.47,11.47,0.05K,4.46%
12/15/2022,SMG,10.98,10.98,10.98,10.98,0.01K,0.83%
12/13/2022,SMG,10.89,10.89,10.89,10.89,0.01K,9.01%
12/09/2022,SMG,9.99,9.99,9.99,9.99,0.08K,0.00%
12/08/2022,SMG,9.99,9.99,9.99,9.99,0.00K,-0.20%
12/06/2022,SMG,10.01,10.01,10.01,10.01,0.01K,-8.92%
11/24/2022,SMG,10.99,10.99,10.99,10.99,0.00K,0.00%
11/22/2022,SMG,10.99,10.99,10.99,10.99,0.07K,0.00%
11/16/2022,SMG,10.99,10.99,10.99,10.99,0.00K,0.00%
11/15/2022,SMG,10.99,10.99,10.99,10.99,0.01K,9.79%
10/24/2022,SMG,10.01,10.01,10.01,10.01,0.02K,0.00%
10/20/2022,SMG,10.01,10.01,10.01,10.01,0.01K,-0.89%
10/19/2022,SMG,10.1,10.1,10.1,10.1,0.07K,0.00%
10/18/2022,SMG,10.1,10.1,10.1,10.1,0.05K,-8.27%
10/13/2022,SMG,11.01,11.01,11.01,11.01,0.00K,0.00%
10/12/2022,SMG,11.01,11.01,11.01,11.01,0.02K,-4.34%
10/10/2022,SMG,11.51,11.51,11.51,11.51,0.01K,0.00%
10/07/2022,SMG,11.51,11.51,11.51,11.51,0.10K,-4.16%
10/03/2022,SMG,12.01,12.01,12.01,12.01,0.00K,0.00%
09/30/2022,SMG,12.01,12.01,12.01,12.01,0.02K,0.00%
09/28/2022,SMG,12.01,12.01,12.01,12.01,0.03K,-1.96%
09/26/2022,SMG,12.25,12.25,12.25,12.25,0.22K,-0.41%
09/23/2022,SMG,12.3,12.3,12.3,12.3,0.20K,0.00%
09/20/2022,SMG,12.3,12.3,12.3,12.3,0.22K,-1.60%
09/09/2022,SMG,12.5,12.5,12.5,12.5,0.00K,0.00%
09/08/2022,SMG,12.5,12.5,12.5,12.5,0.35K,0.08%
09/07/2022,SMG,12.49,12.49,12.49,12.49,0.22K,1.13%
09/05/2022,SMG,12.35,12.35,12.35,12.35,0.49K,0.00%
09/02/2022,SMG,12.35,12.35,12.35,12.35,0.81K,0.24%
09/01/2022,SMG,12.32,12.32,12.32,12.32,0.70K,-4.50%
08/26/2022,SMG,12.9,12.9,12.9,12.9,0.10K,2.46%
08/19/2022,SMG,12.59,12.59,12.59,12.59,0.00K,4.48%
08/10/2022,SMG,12.05,12.05,12.05,12.05,0.10K,0.17%
08/08/2022,SMG,12.03,12.03,12.03,12.03,0.10K,-3.68%
08/05/2022,SMG,12.49,12.49,12.49,12.49,0.66K,0.00%
08/03/2022,SMG,12.49,12.49,12.49,12.49,0.02K,0.00%
08/01/2022,SMG,12.49,12.49,12.49,12.49,0.08K,0.00%
07/28/2022,SMG,12.49,12.49,12.49,12.49,0.25K,0.56%
07/26/2022,SMG,12.42,12.42,12.42,12.42,0.00K,-4.46%
07/22/2022,SMG,13,13,13,13,0.20K,-3.70%
07/21/2022,SMG,13.5,13.5,13.5,13.5,0.00K,3.61%
07/19/2022,SMG,13.03,13.03,13.03,13.03,0.10K,0.00%
07/14/2022,SMG,13.03,13.03,13.03,13.03,0.54K,0.00%
07/13/2022,SMG,13.03,13.03,13.03,13.03,0.00K,0.00%
07/11/2022,SMG,13.03,13.03,13.03,13.03,0.00K,0.00%
07/08/2022,SMG,13.03,13.03,13.03,13.03,0.05K,0.00%
07/07/2022,SMG,13.03,13.03,13.03,13.03,0.07K,-4.12%
07/04/2022,SMG,13.59,13.59,13.59,13.59,0.00K,4.46%
07/01/2022,SMG,13.01,13.5,13.5,13.01,0.59K,-3.56%
06/30/2022,SMG,13.49,13.49,13.49,13.49,0.20K,-3.64%
06/29/2022,SMG,14,14,14,14,0.20K,-8.38%
06/24/2022,SMG,15.28,14.6,15.28,14.6,0.20K,-4.50%
06/20/2022,SMG,16,16,16,16,0.00K,-1.36%
06/09/2022,SMG,16.22,16.22,16.22,16.22,0.01K,4.44%
06/08/2022,SMG,15.53,15.53,15.53,15.53,0.00K,4.44%
06/07/2022,SMG,14.87,14.87,14.87,14.87,0.20K,4.50%
06/06/2022,SMG,14.23,14.23,14.23,14.23,0.01K,0.07%
06/03/2022,SMG,14.22,14.22,14.22,14.22,0.49K,0.00%
05/31/2022,SMG,14.22,14.22,14.22,14.22,0.01K,-0.07%
05/27/2022,SMG,14.23,14.23,14.23,14.23,0.01K,4.48%
05/26/2022,SMG,13.62,13.62,13.62,13.62,0.20K,4.37%
05/25/2022,SMG,13.05,13.05,13.05,13.05,0.00K,4.07%
05/24/2022,SMG,12.54,12.54,12.54,12.54,0.00K,4.50%
05/23/2022,SMG,12,12,12,12,0.35K,0.00%
05/19/2022,SMG,12,12,12,12,0.10K,0.00%
05/13/2022,SMG,12,12,12,12,0.10K,0.00%
05/10/2022,SMG,12,12,12,12,0.20K,0.84%
04/27/2022,SMG,11.9,11.9,11.9,11.9,0.09K,6.82%
04/25/2022,SMG,11.14,11.14,11.14,11.14,0.21K,0.00%
04/20/2022,SMG,11.14,11.14,11.14,11.14,0.01K,-4.46%
04/19/2022,SMG,11.66,11.66,11.66,11.66,0.20K,-2.83%
04/15/2022,SMG,12,12,12,12,0.17K,0.00%
04/14/2022,SMG,12,12,12,12,0.00K,0.00%
04/13/2022,SMG,12,12,12,12,0.01K,-3.46%
04/08/2022,SMG,12.43,12.43,12.43,12.43,0.31K,0.00%
04/06/2022,SMG,12.43,12.43,12.43,12.43,0.31K,0.00%
03/23/2022,SMG,12.43,12.43,12.43,12.43,0.35K,-4.38%
03/17/2022,SMG,13,13,13,13,1.00K,0.00%
03/16/2022,SMG,13,13,13,13,0.06K,0.00%
03/11/2022,SMG,13,13,13,13,0.05K,0.00%
03/10/2022,SMG,13,13,13,13,0.44K,-2.84%
02/18/2022,SMG,13.38,13.38,13.38,13.38,0.03K,0.00%
02/17/2022,SMG,13.38,13.38,13.38,13.38,0.00K,0.00%
02/16/2022,SMG,13.38,13.38,13.38,13.38,0.06K,-4.43%
02/10/2022,SMG,14,14,14,14,0.17K,-2.30%
02/07/2022,SMG,14.33,15,15,14.33,0.68K,-4.47%
02/03/2022,SMG,15,15,15,15,0.03K,0.00%
02/02/2022,SMG,15,15,15,15,0.81K,-5.30%
01/31/2022,SMG,15.84,15.84,15.84,15.84,0.13K,-6.82%
01/22/2022,SMG,17,17,17,17,,2.53%
01/17/2022,SMG,16.58,16.58,16.58,16.58,0.01K,-0.30%
12/30/2021,SMG,16.63,16.63,16.63,16.63,0.08K,0.00%
12/29/2021,SMG,16.63,16.64,16.64,16.63,0.75K,-0.12%
12/21/2021,SMG,16.65,16.65,16.65,16.65,0.02K,-0.42%
12/03/2021,SMG,16.72,16.72,16.72,16.72,0.81K,4.50%
11/22/2021,SMG,16,16,16,16,0.03K,3.90%
11/16/2021,SMG,15.4,15.4,15.4,15.4,0.10K,0.00%
11/15/2021,SMG,15.4,15.4,15.4,15.4,0.01K,-0.65%
11/05/2021,SMG,15.5,15.5,15.5,15.5,0.04K,-2.52%
10/28/2021,SMG,15.9,15.9,15.9,15.9,0.00K,-0.63%
10/20/2021,SMG,16,16,16,16,0.03K,0.00%
10/19/2021,SMG,16,16,16,16,0.01K,-3.15%
10/14/2021,SMG,16.52,16.52,16.52,16.52,0.00K,-2.82%
10/01/2021,SMG,17,17,17,17,0.00K,0.00%
09/30/2021,SMG,17,17,17,17,0.00K,0.00%
09/29/2021,SMG,17,17,17,17,0.03K,0.00%
09/28/2021,SMG,17,17,17,17,0.03K,-2.86%
09/27/2021,SMG,17.5,17.5,17.5,17.5,0.10K,0.00%
09/16/2021,SMG,17.5,17.5,17.5,17.5,4.83K,2.94%
09/09/2021,SMG,17,17,17,17,0.03K,-5.56%
08/09/2021,SMG,18,18,18,18,0.25K,0.00%
08/06/2021,SMG,18,18,18,18,43.31K,0.00%
