Date,Valeur,Price,Open,High,Low,Vol.,Change %
09/21/2023,SOMOC,0.77,0.77,0.77,0.77,,0.00%
09/20/2023,SOMOC,0.77,0.76,0.77,0.75,12.03K,1.32%
09/19/2023,SOMOC,0.76,0.74,0.77,0.74,11.78K,0.00%
09/18/2023,SOMOC,0.76,0.76,0.77,0.75,49.57K,0.00%
09/15/2023,SOMOC,0.76,0.75,0.76,0.75,57.40K,1.33%
09/14/2023,SOMOC,0.75,0.74,0.75,0.74,14.06K,1.35%
09/13/2023,SOMOC,0.74,0.71,0.74,0.71,10.46K,4.23%
09/12/2023,SOMOC,0.71,0.71,0.71,0.7,7.70K,0.00%
09/11/2023,SOMOC,0.71,0.7,0.71,0.7,9.88K,0.00%
09/08/2023,SOMOC,0.71,0.7,0.71,0.7,4.60K,1.43%
09/07/2023,SOMOC,0.7,0.7,0.7,0.69,11.35K,1.45%
09/06/2023,SOMOC,0.69,0.68,0.7,0.68,28.56K,-2.82%
09/05/2023,SOMOC,0.71,0.72,0.72,0.7,15.95K,-1.39%
09/04/2023,SOMOC,0.72,0.7,0.72,0.7,10.13K,1.41%
09/01/2023,SOMOC,0.71,0.71,0.72,0.7,9.64K,0.00%
08/31/2023,SOMOC,0.71,0.7,0.72,0.7,1.25K,-1.39%
08/30/2023,SOMOC,0.72,0.72,0.72,0.71,9.96K,1.41%
08/29/2023,SOMOC,0.71,0.72,0.72,0.71,4.74K,-1.39%
08/28/2023,SOMOC,0.72,0.7,0.72,0.7,22.44K,2.86%
08/25/2023,SOMOC,0.7,0.7,0.7,0.69,65.61K,-1.41%
08/24/2023,SOMOC,0.71,0.7,0.72,0.7,32.43K,-1.39%
08/23/2023,SOMOC,0.72,0.72,0.72,0.69,24.81K,0.00%
08/22/2023,SOMOC,0.72,0.7,0.74,0.7,15.18K,-1.37%
08/21/2023,SOMOC,0.73,0.75,0.75,0.72,15.41K,-2.67%
08/18/2023,SOMOC,0.75,0.75,0.76,0.75,5.08K,-1.32%
08/17/2023,SOMOC,0.76,0.75,0.76,0.75,1.08K,0.00%
08/16/2023,SOMOC,0.76,0.76,0.76,0.75,2.00K,1.33%
08/15/2023,SOMOC,0.75,0.73,0.77,0.73,31.10K,-2.60%
08/14/2023,SOMOC,0.77,0.76,0.77,0.75,34.96K,0.00%
08/11/2023,SOMOC,0.77,0.75,0.77,0.75,0.05K,-1.28%
08/10/2023,SOMOC,0.78,0.75,0.78,0.75,12.03K,0.00%
08/08/2023,SOMOC,0.78,0.77,0.78,0.77,2.50K,0.00%
08/07/2023,SOMOC,0.78,0.77,0.78,0.77,1.70K,0.00%
08/04/2023,SOMOC,0.78,0.77,0.78,0.76,12.99K,0.00%
08/03/2023,SOMOC,0.78,0.75,0.78,0.75,17.41K,0.00%
08/02/2023,SOMOC,0.78,0.77,0.78,0.77,2.25K,0.00%
08/01/2023,SOMOC,0.78,0.76,0.78,0.76,29.39K,1.30%
07/31/2023,SOMOC,0.77,0.77,0.79,0.77,46.02K,-2.53%
07/28/2023,SOMOC,0.79,0.77,0.8,0.77,8.66K,-2.47%
07/26/2023,SOMOC,0.81,0.81,0.81,0.81,0.02K,1.25%
07/24/2023,SOMOC,0.8,0.78,0.8,0.78,6.70K,2.56%
07/21/2023,SOMOC,0.78,0.79,0.8,0.78,21.64K,-3.70%
07/20/2023,SOMOC,0.81,0.8,0.81,0.8,0.44K,1.25%
07/18/2023,SOMOC,0.8,0.8,0.8,0.8,0.40K,0.00%
07/17/2023,SOMOC,0.8,0.8,0.8,0.79,14.80K,0.00%
07/14/2023,SOMOC,0.8,0.8,0.8,0.8,4.10K,-1.23%
07/13/2023,SOMOC,0.81,0.81,0.81,0.8,13.96K,0.00%
07/12/2023,SOMOC,0.81,0.81,0.81,0.81,1.25K,0.00%
07/11/2023,SOMOC,0.81,0.8,0.81,0.8,5.10K,0.00%
07/10/2023,SOMOC,0.81,0.8,0.81,0.8,10.01K,0.00%
07/07/2023,SOMOC,0.81,0.8,0.81,0.8,33.89K,0.00%
07/06/2023,SOMOC,0.81,0.8,0.81,0.8,35.45K,0.00%
07/05/2023,SOMOC,0.81,0.8,0.81,0.8,3.47K,0.00%
07/04/2023,SOMOC,0.81,0.8,0.81,0.8,27.49K,0.00%
07/03/2023,SOMOC,0.81,0.81,0.81,0.81,0.51K,0.00%
06/30/2023,SOMOC,0.81,0.81,0.81,0.79,10.56K,1.25%
06/27/2023,SOMOC,0.8,0.82,0.82,0.79,185.15K,-3.61%
06/26/2023,SOMOC,0.83,0.82,0.83,0.81,13.17K,1.22%
06/23/2023,SOMOC,0.82,0.82,0.82,0.81,18.75K,-1.20%
06/22/2023,SOMOC,0.83,0.83,0.83,0.81,12.20K,0.00%
06/21/2023,SOMOC,0.83,0.82,0.83,0.81,8.97K,0.00%
06/20/2023,SOMOC,0.83,0.82,0.83,0.81,12.55K,1.22%
06/19/2023,SOMOC,0.82,0.82,0.82,0.81,8.15K,0.00%
06/16/2023,SOMOC,0.82,0.82,0.83,0.81,3.23K,-1.20%
06/15/2023,SOMOC,0.83,0.83,0.83,0.82,3.01K,0.00%
06/14/2023,SOMOC,0.83,0.83,0.83,0.81,6.71K,2.47%
06/13/2023,SOMOC,0.81,0.81,0.82,0.8,26.79K,-1.22%
06/12/2023,SOMOC,0.82,0.81,0.82,0.8,5.55K,0.00%
06/09/2023,SOMOC,0.82,0.83,0.83,0.81,6.89K,-1.20%
06/08/2023,SOMOC,0.83,0.81,0.83,0.81,5.35K,2.47%
06/07/2023,SOMOC,0.81,0.81,0.81,0.8,0.88K,-1.22%
06/06/2023,SOMOC,0.82,0.8,0.82,0.8,9.35K,0.00%
06/05/2023,SOMOC,0.82,0.83,0.83,0.82,0.01K,0.00%
06/02/2023,SOMOC,0.82,0.83,0.83,0.81,1.60K,0.00%
06/01/2023,SOMOC,0.82,0.83,0.83,0.79,20.41K,1.23%
05/31/2023,SOMOC,0.81,0.83,0.83,0.81,3.01K,-1.22%
05/30/2023,SOMOC,0.82,0.82,0.82,0.81,1.78K,-1.20%
05/29/2023,SOMOC,0.83,0.83,0.83,0.8,8.86K,0.00%
05/26/2023,SOMOC,0.83,0.82,0.83,0.81,12.97K,1.22%
05/25/2023,SOMOC,0.82,0.82,0.83,0.81,16.69K,-1.20%
05/24/2023,SOMOC,0.83,0.83,0.83,0.83,1.53K,0.00%
05/23/2023,SOMOC,0.83,0.82,0.83,0.82,11.52K,1.22%
05/22/2023,SOMOC,0.82,0.81,0.83,0.81,2.16K,-1.20%
05/19/2023,SOMOC,0.83,0.83,0.83,0.82,0.80K,0.00%
05/18/2023,SOMOC,0.83,0.82,0.83,0.82,33.82K,1.22%
05/17/2023,SOMOC,0.82,0.82,0.82,0.8,3.12K,0.00%
05/16/2023,SOMOC,0.82,0.82,0.83,0.8,8.58K,0.00%
05/15/2023,SOMOC,0.82,0.83,0.83,0.81,11.69K,0.00%
05/12/2023,SOMOC,0.82,0.83,0.84,0.82,17.18K,-2.38%
05/11/2023,SOMOC,0.84,0.82,0.84,0.82,3.51K,0.00%
05/10/2023,SOMOC,0.84,0.83,0.84,0.83,2.00K,0.00%
05/09/2023,SOMOC,0.84,0.83,0.84,0.82,68.84K,1.20%
05/08/2023,SOMOC,0.83,0.83,0.83,0.82,8.74K,0.00%
05/05/2023,SOMOC,0.83,0.83,0.83,0.79,19.03K,0.00%
05/04/2023,SOMOC,0.83,0.82,0.84,0.81,70.14K,2.47%
05/03/2023,SOMOC,0.81,0.82,0.82,0.8,1.56K,-1.22%
05/02/2023,SOMOC,0.82,0.8,0.83,0.8,19.11K,2.50%
04/28/2023,SOMOC,0.8,0.8,0.8,0.8,1.00K,0.00%
04/27/2023,SOMOC,0.8,0.81,0.81,0.79,7.05K,-1.23%
04/26/2023,SOMOC,0.81,0.79,0.83,0.77,32.55K,2.53%
04/25/2023,SOMOC,0.79,0.79,0.8,0.78,11.01K,0.00%
04/24/2023,SOMOC,0.79,0.79,0.8,0.78,2.82K,0.00%
04/20/2023,SOMOC,0.79,0.78,0.79,0.77,11.89K,1.28%
04/19/2023,SOMOC,0.78,0.79,0.79,0.77,4.18K,-1.27%
04/18/2023,SOMOC,0.79,0.8,0.8,0.77,8.07K,0.00%
04/17/2023,SOMOC,0.79,0.8,0.8,0.79,4.15K,-2.47%
04/14/2023,SOMOC,0.81,0.82,0.82,0.8,3.92K,0.00%
04/13/2023,SOMOC,0.81,0.81,0.82,0.8,19.78K,0.00%
04/12/2023,SOMOC,0.81,0.8,0.82,0.8,15.23K,1.25%
04/11/2023,SOMOC,0.8,0.8,0.8,0.8,5.22K,0.00%
04/10/2023,SOMOC,0.8,0.8,0.8,0.79,5.77K,0.00%
