Date,Valeur,Price,Open,High,Low,Vol.,Change %
09/18/2023,Star,160,160,160,160,0.18K,0.00%
09/15/2023,Star,160,160,160,160,0.07K,-8.52%
08/31/2023,Star,174.9,174.9,174.9,174.9,0.10K,0.82%
08/30/2023,Star,173.47,166,173.47,166,0.51K,4.50%
08/29/2023,Star,166,166,166,166,0.05K,0.00%
08/25/2023,Star,166,166,166,166,0.44K,0.61%
08/24/2023,Star,165,165,165,165,0.00K,0.00%
08/14/2023,Star,165,165,165,165,0.00K,0.00%
08/07/2023,Star,165,165,165,165,0.21K,3.13%
08/01/2023,Star,160,160,160,160,0.00K,-3.61%
07/28/2023,Star,166,166,166,166,0.00K,0.00%
07/18/2023,Star,166,165.5,166,165.5,0.26K,0.30%
07/17/2023,Star,165.5,165.5,165.5,165.5,0.39K,-0.30%
07/12/2023,Star,166,166,166,166,0.25K,-1.19%
07/05/2023,Star,168,168,168,168,0.20K,1.94%
06/27/2023,Star,164.8,164.8,164.8,164.8,0.13K,0.00%
06/26/2023,Star,164.8,164.8,164.8,164.8,0.15K,-0.12%
06/23/2023,Star,164.99,164.99,164.99,164.99,0.10K,1.54%
06/21/2023,Star,162.49,162.49,162.49,162.49,0.03K,0.06%
06/20/2023,Star,162.39,162.39,162.39,162.39,0.04K,-0.01%
06/19/2023,Star,162.4,162.4,162.4,162.4,0.09K,0.00%
06/15/2023,Star,162.4,162.4,162.4,162.4,0.08K,0.00%
06/14/2023,Star,162.4,162.4,162.4,162.4,0.13K,0.00%
06/13/2023,Star,162.4,162.4,162.4,162.4,0.00K,0.00%
06/12/2023,Star,162.4,162.4,162.4,162.4,0.02K,1.50%
06/09/2023,Star,160,160,160,160,0.02K,-3.62%
06/08/2023,Star,166.01,166.01,166.01,166.01,0.13K,0.01%
06/07/2023,Star,166,166,166,166,2.64K,-1.62%
06/02/2023,Star,168.74,168.74,168.74,168.74,0.15K,0.00%
06/01/2023,Star,168.74,168.8,168.8,168.74,0.16K,1.65%
05/31/2023,Star,166,166,166,166,0.00K,0.00%
05/30/2023,Star,166,166,166,166,1.26K,0.00%
05/29/2023,Star,166,166,166,166,0.30K,-2.35%
05/26/2023,Star,170,170,170,170,0.01K,1.18%
05/25/2023,Star,168.01,167,168.01,167,0.68K,1.82%
05/24/2023,Star,165,163.02,165,163.02,4.81K,0.00%
05/23/2023,Star,165,163,165,163,0.42K,3.13%
05/22/2023,Star,160,160,160,160,1.06K,0.00%
05/19/2023,Star,160,160,160,160,1.52K,0.00%
05/18/2023,Star,160,160,160,160,0.59K,0.00%
05/17/2023,Star,160,160,160,160,1.00K,0.00%
05/16/2023,Star,160,160,160,160,0.12K,0.31%
05/15/2023,Star,159.5,159.5,159.5,159.5,0.42K,-0.31%
05/12/2023,Star,160,160,160,160,0.10K,0.31%
05/11/2023,Star,159.51,159.51,159.51,159.51,0.00K,-0.31%
05/10/2023,Star,160,160,160,160,0.08K,0.00%
05/09/2023,Star,160,160,160,160,0.31K,0.00%
05/08/2023,Star,160,160,160,160,1.18K,0.13%
05/05/2023,Star,159.79,159.79,159.79,159.79,0.00K,-0.07%
05/03/2023,Star,159.9,159.9,159.9,159.9,0.01K,-0.06%
04/27/2023,Star,160,160,160,160,0.50K,0.44%
04/26/2023,Star,159.3,159.3,159.3,159.3,0.01K,0.82%
04/25/2023,Star,158,158,158,158,0.42K,0.00%
04/24/2023,Star,158,158,158,158,0.05K,-0.82%
04/17/2023,Star,159.3,159.3,159.3,159.3,0.11K,-0.44%
04/13/2023,Star,160,159.3,160,159.3,0.01K,0.00%
04/12/2023,Star,160,159,160,159,0.17K,0.50%
04/11/2023,Star,159.2,159.2,159.2,159.2,0.15K,0.00%
04/10/2023,Star,159.2,159.2,159.2,159.2,0.01K,-0.50%
04/07/2023,Star,160,160,160,160,0.15K,-0.62%
04/05/2023,Star,161,161,161,161,0.09K,-0.62%
04/03/2023,Star,162,162,162,162,0.37K,0.00%
03/31/2023,Star,162,161.5,162,161.5,0.18K,0.31%
03/30/2023,Star,161.5,161.5,161.5,161.5,0.06K,0.00%
03/29/2023,Star,161.5,162.5,162.5,161.5,0.10K,0.00%
03/28/2023,Star,161.5,160,161.5,160,0.04K,0.94%
03/27/2023,Star,160,160,160,160,0.19K,0.63%
03/24/2023,Star,159,159,159,159,0.53K,2.58%
03/23/2023,Star,155,155,155,155,0.18K,0.00%
03/21/2023,Star,155,155,155,155,0.01K,0.00%
03/16/2023,Star,155,155,155,155,0.01K,0.65%
03/15/2023,Star,154,152,154,152,0.07K,0.33%
03/14/2023,Star,153.5,153.5,153.5,153.5,0.23K,0.00%
03/13/2023,Star,153.5,153.5,153.5,153.5,0.20K,0.20%
03/08/2023,Star,153.2,153.2,153.2,153.2,0.01K,0.79%
03/07/2023,Star,152,152,152,152,0.01K,-0.78%
03/02/2023,Star,153.2,153.2,153.2,153.2,0.00K,1.29%
03/01/2023,Star,151.25,151.25,151.25,151.25,0.14K,-0.49%
02/28/2023,Star,152,152,152,152,0.01K,0.00%
02/24/2023,Star,152,152,152,152,0.06K,0.00%
