Date,Valeur,Price,Open,High,Low,Vol.,Change %
09/21/2023,STPIL,15.26,15,15.26,15,1.12K,0.00%
09/20/2023,STPIL,15.26,15,15.26,15,0.43K,1.73%
09/19/2023,STPIL,15,15.02,15.27,14.99,2.33K,-0.13%
09/18/2023,STPIL,15.02,15.15,15.23,15,0.24K,-0.33%
09/15/2023,STPIL,15.07,14.81,15.07,14.8,0.15K,-0.13%
09/14/2023,STPIL,15.09,15.14,15.14,14.8,1.60K,0.60%
09/13/2023,STPIL,15,14.8,15.14,14.8,2.78K,-0.73%
09/12/2023,STPIL,15.11,14.6,15.15,14.6,3.92K,3.00%
09/11/2023,STPIL,14.67,14.27,14.67,14.27,2.93K,2.66%
09/08/2023,STPIL,14.29,14.01,14.29,14.01,0.18K,0.00%
09/06/2023,STPIL,14.29,14.27,14.29,14.27,0.02K,0.14%
09/04/2023,STPIL,14.27,14.26,14.27,14.26,0.11K,0.00%
09/01/2023,STPIL,14.27,13.95,14.27,13.95,0.40K,-0.21%
08/31/2023,STPIL,14.3,14.3,14.3,14.3,0.06K,1.42%
08/30/2023,STPIL,14.1,14.09,14.1,14.09,0.95K,0.07%
08/29/2023,STPIL,14.09,14.09,14.09,14.09,0.10K,-0.07%
08/28/2023,STPIL,14.1,13.87,14.1,13.87,0.65K,1.66%
08/25/2023,STPIL,13.87,13.85,13.87,13.85,0.05K,0.14%
08/24/2023,STPIL,13.85,13.85,13.85,13.85,0.50K,0.07%
08/23/2023,STPIL,13.84,13.65,13.84,13.6,1.58K,-0.29%
08/22/2023,STPIL,13.88,13.88,13.88,13.88,0.74K,-0.14%
08/21/2023,STPIL,13.9,13.85,13.9,13.85,0.61K,1.76%
08/18/2023,STPIL,13.66,13.66,13.66,13.66,0.01K,0.00%
08/17/2023,STPIL,13.66,13.66,13.66,13.66,0.08K,0.00%
08/15/2023,STPIL,13.66,13.66,13.66,13.66,0.01K,1.19%
08/14/2023,STPIL,13.5,13.5,13.5,13.4,0.04K,-1.17%
08/11/2023,STPIL,13.66,13.4,13.66,13.4,0.20K,0.44%
08/09/2023,STPIL,13.6,13.22,13.6,13.21,1.25K,1.57%
08/08/2023,STPIL,13.39,13.39,13.6,13.39,1.08K,0.00%
08/07/2023,STPIL,13.39,13.39,13.8,13.39,0.90K,0.00%
08/04/2023,STPIL,13.39,13.39,13.39,13.39,0.24K,-2.48%
08/03/2023,STPIL,13.73,13.6,13.73,13.5,1.06K,-0.51%
08/02/2023,STPIL,13.8,13.8,13.8,13.8,0.01K,0.36%
08/01/2023,STPIL,13.75,13.75,13.75,13.6,0.63K,-0.36%
07/28/2023,STPIL,13.8,13.9,13.9,13.8,0.09K,-0.72%
07/27/2023,STPIL,13.9,13.9,13.9,13.7,1.50K,0.80%
07/26/2023,STPIL,13.79,14,14,13.55,0.96K,-2.27%
07/24/2023,STPIL,14.11,14.11,14.11,14.11,0.01K,-6.00%
07/21/2023,STPIL,15.01,15,15.2,15,1.73K,-1.18%
07/20/2023,STPIL,15.19,14.94,15.2,14.94,2.67K,1.95%
07/18/2023,STPIL,14.9,14.65,14.9,14.65,4.08K,0.68%
07/17/2023,STPIL,14.8,14.8,14.8,14.65,0.30K,-0.34%
07/14/2023,STPIL,14.85,14.8,14.85,14.8,0.14K,0.00%
07/13/2023,STPIL,14.85,14.9,14.9,14.65,0.11K,1.37%
07/12/2023,STPIL,14.65,14.65,14.65,14.4,2.08K,0.00%
07/11/2023,STPIL,14.65,14.71,14.9,14.6,0.46K,-2.01%
07/07/2023,STPIL,14.95,14.9,14.95,14.9,0.60K,0.34%
07/06/2023,STPIL,14.9,14.95,14.98,14.9,1.81K,-0.60%
07/05/2023,STPIL,14.99,14.99,14.99,14.99,0.00K,0.54%
07/04/2023,STPIL,14.91,14.9,14.91,14.9,0.01K,0.00%
07/03/2023,STPIL,14.91,14.91,14.91,14.91,0.29K,-1.78%
06/30/2023,STPIL,15.18,15.2,15.2,15.18,0.00K,-0.07%
06/27/2023,STPIL,15.19,14.8,15.29,14.71,0.61K,1.33%
06/26/2023,STPIL,14.99,15,15,14.99,0.92K,0.27%
06/23/2023,STPIL,14.95,14.68,14.99,14.68,3.86K,1.98%
06/22/2023,STPIL,14.66,14.4,14.67,14.4,1.53K,1.81%
06/21/2023,STPIL,14.4,14.33,14.69,14.33,4.48K,-1.17%
06/20/2023,STPIL,14.57,14.5,14.57,14.5,0.05K,0.00%
06/19/2023,STPIL,14.57,14.64,14.64,14.5,0.78K,-0.55%
06/16/2023,STPIL,14.65,14.2,14.69,14.2,10.21K,4.64%
06/15/2023,STPIL,14,14,14,14,7.37K,0.00%
06/14/2023,STPIL,14,14,14.09,14,0.83K,0.00%
06/13/2023,STPIL,14,14,14,13.99,8.28K,0.00%
06/12/2023,STPIL,14,14,14,14,2.77K,0.00%
06/09/2023,STPIL,14,14,14,14,2.78K,-0.28%
06/08/2023,STPIL,14.04,14.09,14.09,13.8,0.02K,1.01%
06/07/2023,STPIL,13.9,14.1,14.1,13.9,0.11K,-1.35%
06/06/2023,STPIL,14.09,14,14.09,13.55,6.38K,0.64%
06/05/2023,STPIL,14,14,14.09,14,2.76K,0.00%
06/02/2023,STPIL,14,13.98,14,13.95,2.66K,0.00%
06/01/2023,STPIL,14,13.95,14,13.95,0.20K,0.00%
05/31/2023,STPIL,14,13.95,14,13.75,0.43K,0.00%
05/30/2023,STPIL,14,13.95,14,13.95,0.75K,0.57%
05/29/2023,STPIL,13.92,14.1,14.1,13.92,0.11K,-0.22%
05/26/2023,STPIL,13.95,14,14,13.95,2.87K,-0.36%
05/25/2023,STPIL,14,14.01,14.01,14,1.08K,0.00%
05/24/2023,STPIL,14,14.1,14.1,13.95,1.34K,0.00%
05/23/2023,STPIL,14,14,14,14,4.66K,0.00%
05/22/2023,STPIL,14,14.1,14.1,14,1.07K,0.00%
05/19/2023,STPIL,14,14,14,13.99,0.76K,0.07%
05/18/2023,STPIL,13.99,14,14,13.99,1.38K,-0.07%
05/17/2023,STPIL,14,14,14,14,46.20K,-0.71%
05/16/2023,STPIL,14.1,14,14.1,14,9.47K,0.71%
05/15/2023,STPIL,14,14,14.1,13.98,9.17K,0.00%
05/12/2023,STPIL,14,13.99,14,13.98,1.37K,0.00%
05/11/2023,STPIL,14,14,14,13.98,0.33K,0.00%
05/10/2023,STPIL,14,13.95,14,13.81,1.77K,0.72%
05/09/2023,STPIL,13.9,13.85,13.95,13.8,5.42K,0.36%
05/08/2023,STPIL,13.85,13.5,13.86,13.5,2.72K,5.89%
05/05/2023,STPIL,13.08,13,13.08,13,0.04K,-0.15%
05/04/2023,STPIL,13.1,13,13.1,13,2.91K,0.15%
05/03/2023,STPIL,13.08,13,13.08,12.92,0.24K,-0.15%
04/28/2023,STPIL,13.1,13,13.1,12.9,1.14K,0.38%
04/27/2023,STPIL,13.05,13.05,13.05,13.05,0.00K,1.01%
04/26/2023,STPIL,12.92,13.1,13.1,12.9,0.10K,-1.00%
04/25/2023,STPIL,13.05,13.05,13.05,13.05,0.25K,1.56%
04/24/2023,STPIL,12.85,12.85,12.85,12.85,0.09K,-1.83%
04/20/2023,STPIL,13.09,13.09,13.09,12.96,0.58K,-0.08%
04/19/2023,STPIL,13.1,13.14,13.14,12.9,0.73K,1.55%
04/18/2023,STPIL,12.9,12.9,12.9,12.9,0.05K,0.00%
04/17/2023,STPIL,12.9,12.9,13.1,12.9,0.35K,0.62%
04/14/2023,STPIL,12.82,13.1,13.1,12.82,0.37K,0.00%
04/13/2023,STPIL,12.82,12.82,12.82,12.81,0.08K,-0.31%
04/12/2023,STPIL,12.86,13.3,13.3,12.86,0.02K,-1.83%
04/11/2023,STPIL,13.1,13.1,13.1,12.98,2.07K,-1.50%
04/10/2023,STPIL,13.3,13.3,13.3,13.1,0.11K,0.38%
04/07/2023,STPIL,13.25,13.08,13.3,13.08,0.60K,0.00%
04/06/2023,STPIL,13.25,13.25,13.25,13.06,0.13K,-1.12%
04/05/2023,STPIL,13.4,13.48,13.48,13.4,0.42K,-0.37%
