Date,Valeur,Price,Open,High,Low,Vol.,Change %
09/21/2023,TELNET,6.18,6.2,6.25,6.13,11.15K,-0.32%
09/20/2023,TELNET,6.2,6.12,6.23,6.12,7.17K,1.31%
09/19/2023,TELNET,6.12,6.15,6.26,6.12,16.23K,0.00%
09/18/2023,TELNET,6.12,6.13,6.14,6,35.07K,-1.29%
09/15/2023,TELNET,6.2,6.35,6.35,6.08,14.47K,-3.13%
09/14/2023,TELNET,6.4,6.47,6.47,6.4,5.09K,-1.54%
09/13/2023,TELNET,6.5,6.6,6.6,6.5,11.45K,-4.27%
09/12/2023,TELNET,6.79,6.82,6.82,6.7,6.50K,-1.31%
09/11/2023,TELNET,6.88,6.79,6.88,6.79,0.36K,1.33%
09/08/2023,TELNET,6.79,6.7,6.79,6.65,1.03K,0.00%
09/07/2023,TELNET,6.79,6.79,6.79,6.7,0.50K,0.00%
09/06/2023,TELNET,6.79,6.88,6.88,6.79,0.38K,-0.15%
09/05/2023,TELNET,6.8,6.88,6.88,6.8,0.36K,-1.16%
09/04/2023,TELNET,6.88,6.88,6.88,6.88,0.04K,-0.29%
09/01/2023,TELNET,6.9,6.9,6.9,6.9,0.05K,0.00%
08/31/2023,TELNET,6.9,6.95,6.95,6.9,0.21K,0.00%
08/30/2023,TELNET,6.9,6.9,6.9,6.9,0.02K,0.00%
08/29/2023,TELNET,6.9,6.98,6.98,6.9,0.10K,-1.15%
08/28/2023,TELNET,6.98,6.98,6.98,6.98,0.07K,1.16%
08/25/2023,TELNET,6.9,6.86,6.9,6.86,1.76K,0.00%
08/24/2023,TELNET,6.9,6.76,6.9,6.76,0.49K,2.07%
08/23/2023,TELNET,6.76,6.99,6.99,6.76,6.92K,-2.03%
08/22/2023,TELNET,6.9,6.76,6.97,6.76,5.39K,1.47%
08/21/2023,TELNET,6.8,6.8,6.8,6.76,1.41K,0.59%
08/18/2023,TELNET,6.76,6.65,6.76,6.6,1.89K,1.65%
08/17/2023,TELNET,6.65,6.65,6.65,6.62,4.04K,0.00%
08/16/2023,TELNET,6.65,6.79,6.79,6.6,1.17K,-2.06%
08/15/2023,TELNET,6.79,6.8,6.8,6.76,0.88K,-0.15%
08/14/2023,TELNET,6.8,6.8,6.8,6.8,0.01K,0.00%
08/11/2023,TELNET,6.8,6.93,6.93,6.78,3.03K,-1.16%
08/10/2023,TELNET,6.88,6.81,6.88,6.8,2.77K,-0.15%
08/08/2023,TELNET,6.89,6.94,6.94,6.89,2.08K,-0.58%
08/07/2023,TELNET,6.93,6.9,6.93,6.9,3.65K,-0.14%
08/04/2023,TELNET,6.94,6.9,6.95,6.9,4.75K,-0.14%
08/03/2023,TELNET,6.95,6.95,6.95,6.9,6.87K,0.14%
08/02/2023,TELNET,6.94,6.8,6.94,6.8,4.07K,0.58%
08/01/2023,TELNET,6.9,6.95,6.95,6.8,0.26K,0.00%
07/31/2023,TELNET,6.9,6.9,6.94,6.8,0.48K,-0.72%
07/28/2023,TELNET,6.95,6.95,6.95,6.8,1.22K,-0.71%
07/27/2023,TELNET,7,7.05,7.09,6.86,0.22K,2.04%
07/26/2023,TELNET,6.86,7,7.1,6.86,3.87K,-2.00%
07/24/2023,TELNET,7,7.1,7.1,7,0.17K,0.00%
07/21/2023,TELNET,7,7,7,7,1.90K,0.00%
07/20/2023,TELNET,7,6.85,7,6.85,0.25K,2.94%
07/18/2023,TELNET,6.8,6.8,6.8,6.8,0.08K,0.00%
07/17/2023,TELNET,6.8,6.85,6.86,6.8,3.21K,-0.87%
07/14/2023,TELNET,6.86,6.86,6.86,6.85,0.57K,0.00%
07/13/2023,TELNET,6.86,7,7,6.86,0.74K,0.15%
07/12/2023,TELNET,6.85,6.87,6.87,6.85,5.55K,-0.29%
07/11/2023,TELNET,6.87,7,7,6.86,1.14K,0.00%
07/10/2023,TELNET,6.87,7,7,6.85,3.48K,-0.43%
07/07/2023,TELNET,6.9,7.08,7.08,6.86,2.14K,-2.54%
07/06/2023,TELNET,7.08,7.2,7.2,6.95,0.14K,1.87%
07/05/2023,TELNET,6.95,7.12,7.12,6.9,2.06K,-2.11%
07/04/2023,TELNET,7.1,7.25,7.25,7,0.84K,-0.70%
07/03/2023,TELNET,7.15,7.2,7.21,7.05,6.97K,-0.14%
06/30/2023,TELNET,7.16,7.15,7.16,7.05,4.06K,0.85%
06/27/2023,TELNET,7.1,7,7.16,7,2.93K,1.43%
06/26/2023,TELNET,7,7,7,6.95,0.95K,0.57%
06/23/2023,TELNET,6.96,7,7,6.95,1.46K,0.87%
06/22/2023,TELNET,6.9,6.95,7,6.82,13.04K,0.73%
06/21/2023,TELNET,6.85,6.95,6.95,6.83,4.47K,-0.44%
06/20/2023,TELNET,6.88,6.94,6.95,6.86,1.65K,-0.29%
06/19/2023,TELNET,6.9,6.93,6.95,6.86,7.00K,-0.58%
06/16/2023,TELNET,6.94,6.83,6.95,6.83,0.25K,-0.14%
06/15/2023,TELNET,6.95,6.85,6.95,6.81,12.38K,0.00%
06/14/2023,TELNET,6.95,6.95,7.01,6.84,7.93K,0.00%
06/13/2023,TELNET,6.95,6.87,6.95,6.85,6.07K,1.31%
06/12/2023,TELNET,6.86,6.86,7,6.86,10.67K,-1.29%
06/09/2023,TELNET,6.95,7,7,6.9,2.54K,-5.57%
06/08/2023,TELNET,7.36,7.28,7.36,7.19,6.63K,2.36%
06/07/2023,TELNET,7.19,7.2,7.2,7.19,2.37K,-0.83%
06/06/2023,TELNET,7.25,7.17,7.25,7.17,2.00K,1.40%
06/05/2023,TELNET,7.15,7.27,7.27,7.15,0.81K,-2.05%
06/02/2023,TELNET,7.3,7.25,7.3,7.16,3.33K,1.39%
06/01/2023,TELNET,7.2,7.19,7.2,7.12,2.15K,0.00%
05/31/2023,TELNET,7.2,7.3,7.3,7.12,5.06K,-0.28%
05/30/2023,TELNET,7.22,7.3,7.35,7.22,15.35K,0.00%
05/29/2023,TELNET,7.22,7.25,7.34,7.22,1.35K,-1.63%
05/26/2023,TELNET,7.34,7.4,7.4,7.25,7.86K,-1.34%
05/25/2023,TELNET,7.44,7.4,7.45,7.35,4.14K,0.68%
05/24/2023,TELNET,7.39,7.35,7.4,7.25,2.70K,-0.14%
05/23/2023,TELNET,7.4,7.4,7.4,7.4,0.06K,0.68%
05/22/2023,TELNET,7.35,7.38,7.39,7.24,0.68K,-0.41%
05/19/2023,TELNET,7.38,7.25,7.38,7.25,2.87K,1.37%
05/18/2023,TELNET,7.28,7.22,7.28,7.2,2.85K,0.69%
05/17/2023,TELNET,7.23,7.2,7.24,7.2,5.11K,0.42%
05/16/2023,TELNET,7.2,7.17,7.24,7.17,1.46K,-0.55%
05/15/2023,TELNET,7.24,7.17,7.24,7.17,0.20K,0.00%
05/12/2023,TELNET,7.24,7.15,7.24,7.15,5.25K,0.56%
05/11/2023,TELNET,7.2,7.16,7.2,7.15,3.22K,0.00%
05/10/2023,TELNET,7.2,7.15,7.2,7.15,2.34K,0.00%
05/09/2023,TELNET,7.2,7.2,7.2,7.16,7.26K,-0.55%
05/08/2023,TELNET,7.24,7.28,7.28,7.24,0.05K,1.69%
05/05/2023,TELNET,7.12,7.1,7.22,7.1,27.75K,-1.52%
05/04/2023,TELNET,7.23,7.23,7.23,7.2,0.62K,0.42%
05/03/2023,TELNET,7.2,7.12,7.2,7.1,1.74K,0.00%
05/02/2023,TELNET,7.2,7.12,7.23,7.06,3.15K,0.70%
04/28/2023,TELNET,7.15,7.06,7.15,7.06,4.18K,0.00%
04/27/2023,TELNET,7.15,7.1,7.15,7.05,0.60K,0.00%
04/26/2023,TELNET,7.15,7.1,7.19,7.05,1.35K,-0.69%
04/25/2023,TELNET,7.2,7.19,7.2,7.1,1.42K,-0.55%
