Date,Valeur,Price,Open,High,Low,Vol.,Change %
09/20/2023,UMED,7.89,7.81,7.9,7.8,2.06K,-0.75%
09/19/2023,UMED,7.95,8,8,7.8,2.10K,-0.63%
09/18/2023,UMED,8,8,8.08,7.86,12.66K,0.00%
09/15/2023,UMED,8,8,8,7.99,0.32K,0.00%
09/14/2023,UMED,8,8,8,8,0.25K,0.25%
09/13/2023,UMED,7.98,7.98,8,7.98,1.32K,0.76%
09/12/2023,UMED,7.92,7.92,8,7.92,22.33K,0.00%
09/11/2023,UMED,7.92,7.81,7.92,7.81,18.15K,1.02%
09/08/2023,UMED,7.84,7.8,7.84,7.75,9.01K,0.51%
09/07/2023,UMED,7.8,7.85,7.85,7.75,5.23K,-0.64%
09/06/2023,UMED,7.85,7.68,7.98,7.68,8.77K,2.21%
09/05/2023,UMED,7.68,7.69,7.69,7.6,3.16K,-0.26%
09/04/2023,UMED,7.7,7.65,7.7,7.65,0.98K,0.65%
09/01/2023,UMED,7.65,7.65,7.65,7.65,0.33K,0.00%
08/31/2023,UMED,7.65,7.7,7.7,7.65,0.07K,-0.65%
08/30/2023,UMED,7.7,7.6,7.7,7.55,2.34K,0.00%
08/29/2023,UMED,7.7,7.72,7.73,7.7,1.21K,-0.52%
08/28/2023,UMED,7.74,7.7,7.75,7.69,0.88K,0.65%
08/25/2023,UMED,7.69,7.69,7.69,7.6,1.41K,-0.13%
08/24/2023,UMED,7.7,7.6,7.7,7.6,0.32K,0.13%
08/23/2023,UMED,7.69,7.7,7.7,7.6,2.51K,-0.13%
08/22/2023,UMED,7.7,7.58,7.7,7.58,1.54K,1.58%
08/21/2023,UMED,7.58,7.6,7.64,7.58,1.30K,-0.52%
08/18/2023,UMED,7.62,7.71,7.71,7.62,2.63K,-1.17%
08/17/2023,UMED,7.71,7.77,7.77,7.71,1.65K,-0.90%
08/16/2023,UMED,7.78,7.78,7.78,7.78,0.51K,-0.26%
08/15/2023,UMED,7.8,7.77,7.8,7.77,0.70K,1.30%
08/14/2023,UMED,7.7,7.79,7.79,7.7,0.20K,-1.16%
08/11/2023,UMED,7.79,7.81,7.81,7.51,3.55K,2.50%
08/10/2023,UMED,7.6,7.71,7.72,7.6,2.02K,-0.52%
08/09/2023,UMED,7.64,7.79,7.79,7.64,5.03K,-1.93%
08/08/2023,UMED,7.79,7.82,7.82,7.73,3.11K,-0.76%
08/07/2023,UMED,7.85,7.9,7.94,7.83,0.62K,0.00%
08/04/2023,UMED,7.85,7.93,7.93,7.85,0.68K,-0.63%
08/03/2023,UMED,7.9,7.93,7.93,7.9,2.49K,-0.50%
08/02/2023,UMED,7.94,7.94,7.95,7.94,0.68K,0.00%
08/01/2023,UMED,7.94,7.9,8.1,7.9,5.98K,0.51%
07/31/2023,UMED,7.9,7.78,7.99,7.77,4.06K,-3.89%
07/28/2023,UMED,8.22,8.25,8.25,8.1,13.94K,-0.36%
07/27/2023,UMED,8.25,8.2,8.25,8.2,2.29K,0.61%
07/26/2023,UMED,8.2,8.06,8.25,8.06,5.31K,0.74%
07/24/2023,UMED,8.14,8.14,8.14,8.14,0.20K,-0.12%
07/21/2023,UMED,8.15,7.9,8.28,7.9,15.75K,3.56%
07/20/2023,UMED,7.87,7.89,7.89,7.8,2.55K,0.00%
07/18/2023,UMED,7.87,7.8,7.87,7.8,1.28K,0.90%
07/17/2023,UMED,7.8,7.9,7.9,7.8,2.85K,-1.27%
07/14/2023,UMED,7.9,7.9,7.99,7.84,5.13K,-0.25%
07/13/2023,UMED,7.92,7.93,8,7.92,3.94K,-1.00%
07/12/2023,UMED,8,8,8,7.9,7.07K,-1.23%
07/11/2023,UMED,8.1,8.03,8.1,8.01,2.42K,1.12%
07/10/2023,UMED,8.01,8,8.1,8,3.31K,-0.87%
07/07/2023,UMED,8.08,8.01,8.08,7.99,4.87K,0.00%
07/06/2023,UMED,8.08,7.93,8.09,7.93,7.16K,-0.12%
07/05/2023,UMED,8.09,8,8.1,8,11.92K,1.13%
07/04/2023,UMED,8,8.04,8.04,8,1.36K,-0.62%
07/03/2023,UMED,8.05,8,8.05,8,5.48K,1.90%
06/30/2023,UMED,7.9,7.86,7.97,7.86,16.10K,0.00%
06/27/2023,UMED,7.9,7.89,7.94,7.89,6.81K,0.00%
06/26/2023,UMED,7.9,7.9,7.9,7.86,5.82K,0.00%
06/23/2023,UMED,7.9,7.95,7.95,7.85,2.38K,-0.13%
06/22/2023,UMED,7.91,7.95,7.98,7.85,23.22K,0.13%
06/21/2023,UMED,7.9,7.7,7.96,7.7,77.27K,2.60%
06/20/2023,UMED,7.7,7.6,7.7,7.56,4.96K,0.79%
06/19/2023,UMED,7.64,7.69,7.69,7.51,1.63K,-0.26%
06/16/2023,UMED,7.66,7.68,7.69,7.56,8.04K,0.00%
06/15/2023,UMED,7.66,7.62,7.68,7.55,10.43K,0.79%
06/14/2023,UMED,7.6,7.61,7.62,7.55,10.01K,-0.13%
06/13/2023,UMED,7.61,7.68,7.68,7.55,5.57K,0.79%
06/12/2023,UMED,7.55,7.55,7.69,7.55,7.88K,0.00%
06/09/2023,UMED,7.55,7.55,7.7,7.55,38.45K,0.13%
06/08/2023,UMED,7.54,7.45,7.54,7.44,20.99K,1.21%
06/07/2023,UMED,7.45,7.3,7.45,7.3,30.51K,0.68%
06/06/2023,UMED,7.4,7.4,7.4,7.35,3.20K,-0.54%
06/05/2023,UMED,7.44,7.38,7.52,7.38,11.09K,0.81%
06/02/2023,UMED,7.38,7.25,7.38,7.22,4.60K,1.10%
06/01/2023,UMED,7.3,7.3,7.3,7.21,2.66K,0.00%
05/31/2023,UMED,7.3,7.3,7.3,7.21,3.06K,0.97%
05/30/2023,UMED,7.23,7.3,7.3,7.2,19.88K,-0.96%
05/29/2023,UMED,7.3,7.31,7.38,7.3,2.13K,-1.08%
05/26/2023,UMED,7.38,7.38,7.39,7.3,3.76K,-0.27%
05/25/2023,UMED,7.4,7.35,7.4,7.21,3.85K,0.68%
05/24/2023,UMED,7.35,7.35,7.35,7.25,3.88K,0.00%
05/23/2023,UMED,7.35,7.39,7.39,7.25,13.79K,-0.27%
05/22/2023,UMED,7.37,7.21,7.37,7.21,1.14K,-0.14%
05/19/2023,UMED,7.38,7.22,7.38,7.2,22.55K,1.10%
05/18/2023,UMED,7.3,7.28,7.3,7.25,2.99K,0.27%
05/17/2023,UMED,7.28,7.3,7.4,7.28,6.24K,-1.62%
05/16/2023,UMED,7.4,7.3,7.4,7.25,5.90K,1.37%
05/15/2023,UMED,7.3,7.43,7.43,7.3,4.35K,0.00%
05/12/2023,UMED,7.3,7.3,7.45,7.3,7.28K,-2.01%
05/11/2023,UMED,7.45,7.38,7.45,7.3,13.17K,2.34%
05/10/2023,UMED,7.28,7.38,7.38,7.2,11.62K,-0.27%
05/09/2023,UMED,7.3,7.35,7.39,7.2,12.81K,-1.35%
05/08/2023,UMED,7.4,7.26,7.4,7.26,6.05K,1.37%
05/05/2023,UMED,7.3,7.3,7.35,7.29,1.09K,0.00%
05/04/2023,UMED,7.3,7.35,7.35,7.26,5.82K,-0.68%
05/03/2023,UMED,7.35,7.3,7.38,7.3,2.74K,0.68%
05/02/2023,UMED,7.3,7.35,7.37,7.3,1.00K,-1.08%
04/28/2023,UMED,7.38,7.28,7.39,7.28,0.82K,1.10%
04/27/2023,UMED,7.3,7.36,7.45,7.3,2.34K,-2.54%
04/26/2023,UMED,7.49,7.49,7.49,7.35,2.60K,-0.13%
04/25/2023,UMED,7.5,7.55,7.55,7.5,1.61K,-0.40%
04/24/2023,UMED,7.53,7.3,7.53,7.3,17.30K,3.43%
04/20/2023,UMED,7.28,7.35,7.35,7.11,5.67K,0.41%
04/19/2023,UMED,7.25,7.23,7.25,7.23,2.43K,0.42%
04/17/2023,UMED,7.22,7.25,7.25,7.07,0.45K,-0.41%
04/14/2023,UMED,7.25,7.25,7.3,7.09,4.90K,-0.55%
04/13/2023,UMED,7.29,7.06,7.29,7.06,0.56K,1.53%
04/12/2023,UMED,7.18,7.05,7.18,7.05,5.00K,0.00%
04/11/2023,UMED,7.18,7.2,7.2,7.05,11.65K,-0.28%
04/10/2023,UMED,7.2,7.3,7.3,7.2,0.13K,-2.04%
04/07/2023,UMED,7.35,7.2,7.35,7.2,3.23K,0.68%
04/06/2023,UMED,7.3,7.17,7.3,7.17,0.10K,0.97%
04/05/2023,UMED,7.23,7.25,7.25,7.23,0.81K,-0.41%
04/04/2023,UMED,7.26,7.29,7.29,7.2,3.27K,-0.55%
04/03/2023,UMED,7.3,7.22,7.3,7.22,1.10K,-0.54%
03/31/2023,UMED,7.34,7.25,7.34,7.2,2.91K,0.55%
03/30/2023,UMED,7.3,7.25,7.3,7.25,1.58K,0.00%
03/29/2023,UMED,7.3,7.3,7.3,7.3,0.59K,-0.54%
03/28/2023,UMED,7.34,7.44,7.44,7.32,1.07K,-1.34%
03/27/2023,UMED,7.44,7.34,7.44,7.32,1.40K,-0.53%
03/24/2023,UMED,7.48,7.32,7.5,7.23,6.27K,2.05%
03/23/2023,UMED,7.33,7.3,7.33,7.3,1.85K,0.55%
03/22/2023,UMED,7.29,7.04,7.3,7.04,4.90K,1.53%
03/21/2023,UMED,7.18,7.17,7.18,7.17,1.00K,0.00%
03/16/2023,UMED,7.18,7.06,7.18,7.05,0.03K,1.84%
03/15/2023,UMED,7.05,7.09,7.09,7.05,3.58K,-0.56%
03/14/2023,UMED,7.09,7.09,7.09,7.09,0.00K,0.57%
03/13/2023,UMED,7.05,7.1,7.23,7.05,3.53K,-0.70%
03/10/2023,UMED,7.1,7.24,7.24,7.05,2.23K,0.00%
03/08/2023,UMED,7.1,7.13,7.13,7.1,3.80K,-2.20%
03/07/2023,UMED,7.26,7.26,7.26,7.26,0.17K,-0.14%
03/06/2023,UMED,7.27,7.27,7.27,7.27,1.00K,0.00%
03/03/2023,UMED,7.27,7.25,7.28,7.2,6.12K,-0.14%
03/02/2023,UMED,7.28,7.29,7.29,7.2,2.52K,-0.14%
03/01/2023,UMED,7.29,7.1,7.29,7.1,6.88K,1.25%
02/28/2023,UMED,7.2,7.07,7.2,7.05,13.77K,1.41%
02/27/2023,UMED,7.1,7.07,7.1,7.05,12.06K,0.28%
02/24/2023,UMED,7.08,7.1,7.2,7.08,15.18K,-0.28%
02/23/2023,UMED,7.1,7.11,7.11,7.05,21.35K,-2.07%
02/22/2023,UMED,7.25,7.09,7.25,7.09,1.78K,1.40%
02/21/2023,UMED,7.15,7.15,7.15,7.09,25.17K,0.00%
02/20/2023,UMED,7.15,7.12,7.27,7.11,1.33K,0.70%
02/17/2023,UMED,7.1,7.1,7.2,7.1,2.18K,-1.93%
02/16/2023,UMED,7.24,7.1,7.24,7.1,1.96K,1.97%
02/15/2023,UMED,7.1,7.24,7.28,7.1,2.91K,-2.74%
02/13/2023,UMED,7.3,7.32,7.32,7.3,0.50K,-0.41%
02/10/2023,UMED,7.33,7.18,7.33,7.18,0.04K,3.09%
02/09/2023,UMED,7.11,7.19,7.19,7.11,1.91K,-3.00%
02/08/2023,UMED,7.33,7.3,7.34,7.18,4.06K,-0.14%
02/07/2023,UMED,7.34,7.26,7.34,7.13,1.00K,-0.41%
02/06/2023,UMED,7.37,7.38,7.4,7.3,2.03K,-0.14%
02/03/2023,UMED,7.38,7.11,7.39,7.11,6.14K,3.51%
02/02/2023,UMED,7.13,7.1,7.13,6.91,3.68K,-0.14%
02/01/2023,UMED,7.14,7.14,7.14,7.06,3.49K,0.00%
01/31/2023,UMED,7.14,7.12,7.15,7.05,3.43K,-0.14%
01/30/2023,UMED,7.15,7.02,7.15,7.02,4.38K,1.85%
01/27/2023,UMED,7.02,7.08,7.08,6.8,6.31K,-0.99%
01/26/2023,UMED,7.09,7,7.1,7,6.13K,0.14%
01/25/2023,UMED,7.08,7.04,7.08,6.9,2.21K,0.00%
01/24/2023,UMED,7.08,6.79,7.09,6.79,6.93K,4.27%
01/23/2023,UMED,6.79,6.79,6.79,6.7,1.83K,0.00%
01/20/2023,UMED,6.79,6.7,6.9,6.68,2.75K,1.34%
01/19/2023,UMED,6.7,6.72,6.8,6.68,14.02K,-1.47%
01/18/2023,UMED,6.8,6.8,6.87,6.7,5.26K,-1.02%
01/17/2023,UMED,6.87,6.75,6.87,6.75,2.82K,-0.29%
01/16/2023,UMED,6.89,6.94,6.94,6.8,4.47K,-0.72%
01/13/2023,UMED,6.94,6.61,6.94,6.61,12.42K,4.20%
01/12/2023,UMED,6.66,6.65,6.75,6.61,3.37K,-0.60%
01/11/2023,UMED,6.7,6.74,6.78,6.7,2.99K,-1.18%
01/10/2023,UMED,6.78,6.78,6.78,6.7,1.99K,-0.15%
01/09/2023,UMED,6.79,6.8,6.8,6.79,1.01K,1.34%
01/06/2023,UMED,6.7,6.76,6.8,6.65,49.36K,-1.03%
01/05/2023,UMED,6.77,6.78,6.8,6.75,11.73K,-0.44%
01/04/2023,UMED,6.8,6.8,6.9,6.76,10.81K,-1.45%
01/03/2023,UMED,6.9,6.93,6.93,6.81,53.49K,-1.29%
01/02/2023,UMED,6.99,7.12,7.12,6.99,3.38K,-1.83%
12/30/2022,UMED,7.12,7.12,7.12,7.12,0.01K,-0.28%
12/29/2022,UMED,7.14,7.1,7.14,7.04,2.11K,0.14%
12/28/2022,UMED,7.13,7.15,7.15,7,1.40K,-0.28%
